Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB312--BBa_J61134	18344	7650	7115	1869	837	621	75	0	42	0	135	0	0
BBa_J23116--apFAB865	18331	5239	5312	2699	2269	2283	262	178	1	1	87	0	0
BBa_J23108--apFAB831	18296	6270	6009	2505	2081	948	145	189	46	64	38	1	0
apFAB125--Anderson_RBS	18296	6376	6365	2691	1269	973	74	62	78	102	40	2	264
apFAB346--apFAB843	18265	5515	6566	2865	1585	1364	107	103	54	1	103	2	0
apFAB259--BBa_J61100	18256	4636	3047	51	266	2923	3966	2676	676	0	15	0	0
apFAB87--B0034_RBS	18256	3482	2287	0	0	1	17	42	537	6591	4402	645	252
BBa_J23113--apFAB954	18235	4723	3203	73	47	102	1956	5599	2282	136	25	88	1
apFAB317--BBa_J61132	18225	3273	2262	107	2	2	44	15	915	7772	3316	517	0
BBa_J23116--apFAB857	18222	5231	5167	1915	2126	2862	583	251	37	49	0	1	0
apFAB277--apFAB854	18211	4695	4751	2508	2517	3245	256	142	6	1	89	0	1
apFAB259--apFAB848	18166	4530	3058	22	85	835	3624	4778	1066	139	28	0	1
apFAB302--apFAB831	18166	3684	2432	2	0	2	47	29	772	6875	3720	603	0
BBa_J23116--apFAB872	18158	7642	6570	1602	928	828	143	243	91	45	64	0	2
BBa_J23114--apFAB837	18155	4389	4086	3451	2614	3013	469	128	0	4	1	0	0
apFAB63--apFAB910	18134	2904	2167	130	0	3	2	14	189	4564	6033	2126	2
apFAB346--apFAB869	18119	4443	3889	2415	2509	3903	737	185	36	1	0	1	0
apFAB302--apFAB903	18091	4527	3073	370	566	4648	2672	1736	247	144	106	2	0
apFAB306--BBa_J61112	18075	4043	3173	848	1719	5981	1590	631	29	2	58	1	0
BBa_J23116--apFAB827	18064	5924	5785	2405	1871	1742	138	33	35	4	125	1	1
BBa_J23103--apFAB904	18053	8359	6909	1465	678	326	69	116	53	0	77	1	0
BBa_J23107--apFAB872	18051	4338	3030	1336	1883	5697	1322	324	33	0	86	0	2
apFAB317--apFAB876	18045	3900	2595	1	2	33	4	167	4485	5318	1440	99	1
apFAB124--apFAB831	18042	7668	6870	1957	1021	172	147	134	1	1	71	0	0
apFAB312--apFAB834	18021	3858	2526	0	5	38	7	158	2277	5842	2987	321	2
apFAB342--apFAB869	18014	5259	6305	2895	1680	1006	476	160	78	56	98	0	1
BBa_J23113--apFAB837	17984	3771	2405	2	1	3	3	119	1661	6465	2932	622	0
BBa_J23116--BBa_J61113	17967	5768	6245	2568	1602	1350	98	156	0	62	118	0	0
BBa_J23115--Alon_RBS	17941	4536	3198	234	358	5110	3028	1259	204	6	8	0	0
apFAB259--Anderson_RBS	17906	4778	4373	2199	2478	3484	563	30	0	0	0	1	0
BBa_J23118--apFAB831	17901	3478	2462	141	0	4	23	92	2891	6482	2326	1	1
apFAB339--apFAB856	17896	2779	1794	18	2	3	4	9	123	6549	5063	1550	2
BBa_J23116--apFAB876	17893	7292	6422	1674	1320	700	256	111	23	0	62	33	0
apFAB259--apFAB834	17873	5717	5844	3026	1671	1079	191	217	0	0	127	0	1
BBa_J23116--apFAB868	17840	8038	6073	1679	1059	638	35	182	4	1	131	0	0
BBa_J23106--apFAB827	17805	3770	2473	101	539	6213	3252	1233	205	11	5	0	3
BBa_J23102--apFAB872	17802	4503	3035	1	5	32	210	2011	5150	2465	390	0	0
apFAB277--apFAB872	17781	4401	5185	2729	2694	2321	361	71	17	1	0	1	0
BBa_J23109--apFAB857	17771	4730	3250	56	129	3748	4068	1497	90	117	85	1	0
