Name	Total	Bin 1	Bin 2	Bin 3	Bin 4	Bin 5	Bin 6	Bin 7	Bin 8	Bin 9	Bin 10	Bin 11	Bin 12
apFAB302--apFAB851	10795	0	0	0	1	2	6	34	89	1765	4922	3743	233
J23101--salis-4-10	10794	2	3	1	3	7	28	79	1898	5987	2418	367	1
apFAB62--BBa_J61132	10785	35	0	0	0	2	0	0	17	468	2297	6734	1232
apFAB338--apFAB844	10784	26	214	645	1735	6181	1218	470	126	59	29	81	0
apFAB104--apFAB894	10783	5	3	180	161	4824	3327	1612	425	82	1	163	0
apFAB259--apFAB876	10779	12	2	23	54	1546	4028	4239	789	74	9	3	0
BBa_J23107--apFAB851	10775	1	1	0	2	1	1	18	275	4356	5047	1072	1
apFAB115--apFAB865	10763	31	31	1	1	3	5	122	1163	5930	3474	1	1
apFAB322--BBa_J61132	10755	13	2	36	1	0	1	0	2	1577	4678	4445	0
apFAB259--BBa_J61100	10746	13	160	51	266	2923	3966	2676	676	0	15	0	0
apFAB64--BBa_J61124	10740	89	723	1265	2062	5300	910	339	20	1	29	1	1
apFAB300--apFAB894	10734	1387	3306	2897	1398	1264	138	115	55	2	89	82	1
BBa_J23118--apFAB827	10731	2	3	3	1	28	90	180	3184	5891	1199	124	26
apFAB277--apFAB854	10722	203	1754	2508	2517	3245	256	142	6	1	89	0	1
apFAB77--BBa_J61112	10722	9	2	70	3	3	0	39	745	5661	2995	1041	154
apFAB115--apFAB876	10719	6	38	0	16	2	21	3	1	578	5334	4104	616
apFAB323--apFAB954	10715	3	29	2	1	1	1	0	6	23	203	5119	5327
apFAB323--apFAB856	10712	0	2	0	0	1	25	0	7	16	1324	7630	1707
apFAB312--apFAB821	10712	484	2539	2226	1950	2853	464	127	62	0	4	1	2
apFAB64--apFAB876	10704	0	1	1	2	1	1	2	3	30	1428	7300	1935
apFAB87--B0030_RBS	10699	15	0	1	1	4	2	11	33	1021	3689	5263	659
apFAB342--apFAB904	10693	7	0	1	0	40	61	12	75	3269	5211	1550	467
apFAB277--apFAB894	10688	78	335	1270	1574	5539	1426	356	87	21	0	2	0
apFAB115--BBa_J61134	10670	107	1061	1539	1822	4792	862	273	1	213	0	0	0
apFAB322--apFAB895	10670	67	160	778	1160	5081	2737	570	65	51	1	0	0
BBa_J23105--apFAB904	10659	63	85	55	8	32	984	4027	4186	959	130	37	93
apFAB259--apFAB848	10658	10	70	22	85	835	3624	4778	1066	139	28	0	1
apFAB75--apFAB865	10621	3	4	53	0	0	1	1	10	217	1877	7562	893
apFAB58--apFAB821	10614	17	91	394	1092	5557	2455	687	212	38	71	0	0
apFAB259--Anderson_RBS	10612	365	1492	2199	2478	3484	563	30	0	0	0	1	0
apFAB347--apFAB883	10607	23	2	0	1	1	10	10	962	6708	2687	202	1
apFAB302--apFAB903	10606	68	47	370	566	4648	2672	1736	247	144	106	2	0
apFAB277--Bujard_RBS	10605	0	0	1	1	7	12	16	312	3797	5064	1240	155
apFAB104--apFAB833	10603	8	125	7	22	79	604	4122	4463	1071	98	2	2
apFAB312--BBa_J61137	10594	40	225	175	1097	5883	2264	859	51	0	0	0	0
apFAB323--apFAB854	10589	1	3	0	29	2	1	0	38	1184	3926	5243	162
apFAB323--BBa_J61128	10585	191	1579	2117	2602	3261	568	111	0	149	7	0	0
BBa_J23109--JBEI_RBS	10572	10	2	0	1	0	3	88	1830	6324	2164	149	1
apFAB345--BBa_J61136	10566	0	2	0	1	3	0	26	1543	6491	2296	203	1
apFAB55--apFAB864	10556	1073	3663	2616	1511	1057	100	214	120	1	200	1	0
apFAB346--apFAB904	10552	9	1	2	0	22	4	5	4	214	2062	7007	1222
BBa_J23116--apFAB845	10539	931	3518	2822	1514	1390	145	175	16	1	26	1	0
apFAB342--apFAB869	10526	855	3221	2895	1680	1006	476	160	78	56	98	0	1
apFAB38--apFAB872	10522	179	1259	2223	1989	4019	574	252	21	1	5	0	0
apFAB58--BBa_J61125	10521	126	895	2137	2059	4116	706	334	0	61	86	0	1
apFAB312--apFAB837	10521	8	166	0	1	0	48	182	1818	5849	2268	180	1
apFAB342--apFAB894	10511	7	170	205	205	3248	3742	2576	355	1	0	1	1
apFAB312--BBa_J61132	10505	10	87	116	208	2133	3931	3342	379	257	41	1	0
BBa_J23113--Alon_RBS	10498	1	1	1	1	2	0	2	1	318	560	6747	2864
apFAB306--apFAB868	10482	499	2721	2328	2297	2132	302	79	36	0	88	0	0
BBa_J23106--JBEI_RBS	10476	11	12	0	1	2	4	1	6	281	3334	6180	644
apFAB302--apFAB863	10446	2	3	1	14	11	2	88	164	3863	4468	1544	286
apFAB321--apFAB883	10443	3	0	0	1	2	3	19	1591	6134	2470	219	1
apFAB115--BBa_J61106	10442	35	1	2	38	74	4	44	1396	6306	2218	322	2
apFAB77--apFAB883	10431	10	63	1	2	36	1	3	75	699	3302	5457	782
apFAB64--BBa_J61113	10423	7	6	0	45	4	28	676	4735	3709	1035	1	177
apFAB77--BBa_J61113	10422	0	1	38	1	0	2	0	89	2029	3394	4605	263
BBa_J23109--apFAB916	10417	10	1	3	0	6	17	35	340	4403	3697	1904	1
apFAB311--BBa_J61106	10416	137	800	1277	1759	4952	938	461	29	62	1	0	0
BBa_J23113--BBa_J61113	10415	1260	3176	3273	1450	790	36	235	53	50	90	2	0
apFAB338--BBa_J61120	10396	76	763	1780	1715	4139	1516	317	69	1	19	1	0
